Movie Name,Total Number of Ratings,Rating Score,Genre,Budget,Gross USA
The Apartment (1960) ,"154,724",8.3,Comedy,"$3,000,000",None
Incendies (2010) ,"136,671",8.3,Drama,"$6,800,000","$2,071,334"
To Kill a Mockingbird (1962) ,"284,419",8.2,Crime,"$2,000,000","$592,237"
Indiana Jones and the Last Crusade (1989) ,"665,657",8.2,Action,"$48,000,000","$197,171,806"
Up (2009) ,"895,549",8.2,Animation,"$175,000,000","$293,004,164"
L.A. Confidential (1997) ,"513,722",8.2,Crime,"$35,000,000","$64,616,940"
Heat (1995) ,"551,341",8.2,Crime,"$60,000,000","$67,436,818"
Monty Python and the Holy Grail (1975) ,"483,896",8.2,Adventure,"GBP229,575","$1,827,696"
Die Hard (1988) ,"756,755",8.2,Action,"$28,000,000","$83,519,093"
Rashômon (1950) ,"144,278",8.2,Crime,"$250,000","$46,808"
Yôjinbô (1961) ,"104,520",8.2,Action,None,"$46,808"
Batman Begins (2005) ,"1,256,822",8.2,Action,"$150,000,000","$206,852,432"
Green Book (2018) ,"316,485",8.2,Biography,"$23,000,000","$85,080,171"
Idi i smotri (1985) ,"49,943",8.3,Drama,None,"$71,909"
Der Untergang (2004) ,"319,356",8.2,Biography,"EUR13,500,000","$5,509,040"
Bacheha-Ye aseman (1997) ,"59,854",8.3,Drama,"$180,000","$933,933"
Unforgiven (1992) ,"359,685",8.2,Drama,"$14,400,000","$101,157,447"
Some Like It Hot (1959) ,"233,312",8.2,Comedy,"$2,883,848",None
Hauru no ugoku shiro (2004) ,"306,320",8.2,Animation,"$24,000,000","$5,576,743"
Ran (1985) ,"105,646",8.2,Action,"$11,500,000","$4,135,750"
The Great Escape (1963) ,"215,297",8.2,Adventure,"$4,000,000",None
All About Eve (1950) ,"115,195",8.2,Drama,"$1,400,000","$63,463"
A Beautiful Mind (2001) ,"813,281",8.2,Biography,"$58,000,000","$170,742,341"
Casino (1995) ,"441,638",8.2,Crime,"$52,000,000","$42,512,375"
Pan's Labyrinth (2006) ,"597,644",8.2,Drama,"$19,000,000","$37,634,615"
Tonari no Totoro (1988) ,"266,906",8.2,Animation,"$3,700,000","$2,250,213"
El secreto de sus ojos (2009) ,"183,392",8.2,Drama,"$2,000,000","$6,391,436"
"Lock, Stock and Two Smoking Barrels (1998) ","516,010",8.2,Comedy,"GBP960,000","$3,753,929"
Raging Bull (1980) ,"307,440",8.2,Biography,"$18,000,000","$23,383,987"
The Wolf of Wall Street (2013) ,"1,110,760",8.2,Biography,"$100,000,000","$116,900,694"
Judgment at Nuremberg (1961) ,"65,699",8.2,Drama,"$3,000,000",None
The Treasure of the Sierra Madre (1948) ,"109,024",8.2,Adventure,"$3,000,000","$215,295"
There Will Be Blood (2007) ,"491,606",8.2,Drama,"$25,000,000","$40,222,514"
Babam ve Oglum (2005) ,"74,058",8.3,Drama,None,None
"Three Billboards Outside Ebbing, Missouri (2017) ","395,329",8.2,Comedy,"$15,000,000","$54,513,740"
The Gold Rush (1925) ,"94,878",8.2,Adventure,"$923,000",None
Chinatown (1974) ,"280,626",8.2,Drama,"$6,000,000","$29,200,000"
Dial M for Murder (1954) ,"149,277",8.2,Crime,"$1,400,000","$12,562"
V for Vendetta (2005) ,"992,954",8.2,Action,"$54,000,000","$70,511,035"
Det sjunde inseglet (1957) ,"154,573",8.2,Drama,"$150,000",None
No Country for Old Men (2007) ,"812,246",8.1,Crime,"$25,000,000","$74,283,625"
Inside Out (2015) ,"578,677",8.2,Animation,"$175,000,000","$356,461,711"
Warrior (2011) ,"420,776",8.2,Drama,"$25,000,000","$13,657,115"
Shutter Island (2010) ,"1,072,038",8.1,Mystery,"$80,000,000","$128,012,934"
Trainspotting (1996) ,"614,926",8.1,Drama,"$3,500,000","$16,491,080"
The Elephant Man (1980) ,"210,092",8.1,Biography,"$5,000,000","$26,010,864"
The Sixth Sense (1999) ,"881,077",8.1,Drama,"$40,000,000","$293,506,292"
The Thing (1982) ,"352,276",8.1,Horror,"$15,000,000","$19,629,760"
Room (2015) ,"345,928",8.1,Drama,"$13,000,000","$14,677,654"
Gone with the Wind (1939) ,"277,125",8.1,Drama,"$3,977,000","$200,852,579"
Jurassic Park (1993) ,"826,347",8.1,Action,"$63,000,000","$402,828,120"
Smultronstället (1957) ,"90,149",8.2,Drama,None,None
Blade Runner (1982) ,"665,463",8.1,Action,"$28,000,000","$32,868,943"
The Bridge on the River Kwai (1957) ,"195,049",8.1,Adventure,"$3,000,000","$27,200,000"
Finding Nemo (2003) ,"913,659",8.1,Animation,"$94,000,000","$380,843,261"
Stalker (1979) ,"107,757",8.2,Drama,"RUR6,000,000","$292,049"
The Third Man (1949) ,"152,294",8.1,Film-Noir,None,"$1,067,364"
On the Waterfront (1954) ,"135,443",8.1,Crime,"$910,000",None
Fargo (1996) ,"590,292",8.1,Crime,"$7,000,000","$24,611,975"
Kill Bill: Vol. 1 (2003) ,"960,050",8.1,Action,"$30,000,000","$70,099,045"
The Truman Show (1998) ,"888,920",8.1,Comedy,"$60,000,000","$125,618,201"
Gran Torino (2008) ,"697,348",8.1,Drama,"$33,000,000","$148,095,302"
Tôkyô monogatari (1953) ,"48,244",8.2,Drama,None,None
The Deer Hunter (1978) ,"298,811",8.1,Drama,"$15,000,000","$48,979,328"
Salinui chueok (2003) ,"120,784",8.1,Action,"$2,800,000","$15,357"
Relatos salvajes (2014) ,"164,692",8.1,Comedy,"$3,300,000","$3,106,530"
Klaus (2019) ,"66,821",8.2,Animation,"$40,000,000",None
Eskiya (1996) ,"60,055",8.3,Crime,"TRL1,200,000",None
Andhadhun (2018) ,"59,779",8.3,Crime,"$4,500,000","$1,193,046"
The Big Lebowski (1998) ,"698,196",8.1,Comedy,"$15,000,000","$18,034,458"
Mary and Max (2009) ,"158,175",8.1,Animation,"AUD8,240,000",None
In the Name of the Father (1993) ,"149,213",8.1,Biography,"$13,000,000","$25,096,862"
Gone Girl (2014) ,"813,871",8.1,Drama,"$61,000,000","$167,767,189"
Hacksaw Ridge (2016) ,"404,985",8.1,Biography,"$40,000,000","$67,209,615"
The Grand Budapest Hotel (2014) ,"672,969",8.1,Adventure,"$25,000,000","$59,301,324"
Ford v Ferrari (2019) ,"206,545",8.1,Action,"$97,600,000","$117,624,357"
Persona (1966) ,"95,120",8.1,Drama,None,None
How to Train Your Dragon (2010) ,"641,257",8.1,Animation,"$165,000,000","$217,581,231"
Before Sunrise (1995) ,"254,722",8.1,Drama,"$2,500,000","$5,535,405"
Catch Me If You Can (2002) ,"778,554",8.1,Biography,"$52,000,000","$164,615,351"
The General (1926) ,"76,568",8.1,Action,"$750,000",None
Mr. Smith Goes to Washington (1939) ,"102,603",8.1,Comedy,"$1,900,000","$144,738"
Sherlock Jr. (1924) ,"37,687",8.2,Action,None,"$977,375"
Prisoners (2013) ,"566,057",8.1,Crime,"$46,000,000","$61,002,302"
12 Years a Slave (2013) ,"611,955",8.1,Biography,"$20,000,000","$56,671,993"
Cool Hand Luke (1967) ,"155,590",8.1,Crime,"$3,200,000",None
Mad Max: Fury Road (2015) ,"835,065",8.1,Action,"$150,000,000","$154,058,340"
Barry Lyndon (1975) ,"141,473",8.1,Adventure,"$11,000,000",None
Network (1976) ,"138,819",8.1,Drama,"$3,800,000","$23,689,877"
Le salaire de la peur (1953) ,"51,452",8.1,Adventure,None,None
Stand by Me (1986) ,"349,044",8.1,Adventure,"$8,000,000","$52,287,414"
Into the Wild (2007) ,"549,303",8.1,Adventure,"$15,000,000","$18,354,356"
Million Dollar Baby (2004) ,"612,845",8.1,Drama,"$30,000,000","$100,492,203"
Life of Brian (1979) ,"352,909",8.1,Comedy,"$4,000,000","$20,206,622"
Hachi: A Dog's Tale (2009) ,"239,772",8.1,Drama,"$16,000,000",None
Platoon (1986) ,"367,685",8.1,Drama,"$6,000,000","$138,530,565"
Ben-Hur (1959) ,"211,293",8.1,Adventure,"$15,000,000","$74,422,622"
Rush (2013) ,"414,714",8.1,Biography,"$38,000,000","$26,947,624"
La passion de Jeanne d'Arc (1928) ,"44,223",8.1,Biography,None,"$21,877"
Logan (2017) ,"611,962",8.1,Action,"$97,000,000","$226,277,068"
Andrei Rublev (1966) ,"43,065",8.2,Biography,"RUR1,000,000","$124,189"
Harry Potter and the Deathly Hallows: Part 2 (2011) ,"729,276",8.1,Adventure,"$125,000,000","$381,409,310"
Dead Poets Society (1989) ,"400,322",8.1,Comedy,"$16,400,000","$95,860,116"
Les quatre cents coups (1959) ,"98,850",8.1,Crime,None,$509
Hotel Rwanda (2004) ,"324,922",8.1,Biography,"$17,500,000","$23,530,892"
Rang De Basanti (2006) ,"106,132",8.2,Comedy,None,"$2,197,694"
Amores perros (2000) ,"215,516",8.1,Drama,"$2,000,000","$5,408,467"
Kaze no tani no Naushika (1984) ,"139,491",8.1,Animation,"$1,000,000","$495,770"
Spotlight (2015) ,"395,432",8.1,Biography,"$20,000,000","$45,055,776"
Ah-ga-ssi (2016) ,"97,539",8.1,Drama,"KRW10,000,000,000","$2,006,788"
Rocky (1976) ,"497,641",8.1,Drama,"$960,000","$117,235,147"
Rebecca (1940) ,"116,703",8.1,Drama,"$1,288,000",None
Portrait de la jeune fille en feu (2019) ,"33,914",8.2,Drama,None,"$3,759,854"
"Monsters, Inc. (2001) ","782,361",8.0,Animation,"$115,000,000","$289,916,256"
La haine (1995) ,"139,888",8.1,Crime,"EUR2,590,000","$280,859"
It Happened One Night (1934) ,"89,302",8.1,Comedy,"$325,000",None
Faa yeung nin wa (2000) ,"115,271",8.1,Drama,None,"$2,738,980"
Gangs of Wasseypur (2012) ,"74,859",8.2,Action,"INR184,000,000",None
Before Sunset (2004) ,"222,403",8.0,Drama,"$2,700,000","$5,820,649"
The Princess Bride (1987) ,"377,155",8.1,Adventure,"$16,000,000","$30,857,814"
The Help (2011) ,"410,106",8.1,Drama,"$25,000,000","$169,708,112"
"Paris, Texas (1984) ","82,554",8.1,Drama,"GBP1,162,000","$2,181,987"
Contratiempo (2016) ,"114,608",8.1,Crime,"EUR4,000,000",None
Ace in the Hole (1951) ,"29,015",8.1,Drama,"$1,800,000",None
The Terminator (1984) ,"771,875",8.0,Action,"$6,400,000","$38,371,200"
Drishyam (2015) ,"62,235",8.2,Crime,"$9,400,000",None
Lagaan: Once Upon a Time in India (2001) ,"99,655",8.1,Adventure,"$6,000,000","$909,043"
Butch Cassidy and the Sundance Kid (1969) ,"196,357",8.0,Biography,"$6,000,000","$102,308,889"
Kis Uykusu (2014) ,"41,826",8.2,Drama,None,None
The Red Shoes (1948) ,"28,772",8.1,Drama,"GBP500,000",None
Aladdin (1992) ,"354,960",8.0,Animation,"$28,000,000","$217,350,219"
PK (2014) ,"151,711",8.1,Comedy,None,"$10,616,104"
Akira (1988) ,"154,862",8.0,Animation,"JPY1,100,000,000","$553,171"
Fanny och Alexander (1982) ,"54,706",8.1,Drama,"$6,000,000","$6,783,304"
Kumonosu-jô (1957) ,"42,956",8.1,Drama,None,"$46,808"
